,filename,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,raga
0,Madurai Mani Iyer - Diwakara Tanujam.mp3-1,0.247674778,0.305711758,1228.491018,929.3630504,2017.287802,0.085456399,-129.4886272,191.3391642,-100.677093,6.417244386,-16.97033359,-16.0882276,-19.9794283,-30.01001262,-14.27077014,-18.02958002,-13.54532992,-15.93313433,-9.697999525,-9.301477152,-15.36861277,-10.32623698,-9.188416704,-6.751254043,-6.369477725,-4.280661913,yadukula kambhoji
1,Madurai Mani Iyer - Diwakara Tanujam.mp3-2,0.24691999,0.335608061,1180.489157,890.21883,1949.396546,0.083432224,-115.9458724,202.3103018,-98.08657189,-2.765331845,-11.76181428,-20.41201993,-18.95064376,-29.92807249,-16.13220829,-21.56083291,-18.0027119,-15.26637955,-9.678438148,-11.22871906,-16.11620018,-9.43762225,-10.34026946,-9.282718844,-8.650356201,-6.603390307,yadukula kambhoji
2,Madurai Mani Iyer - Diwakara Tanujam.mp3-3,0.247731611,0.332265331,1210.866427,914.6991749,2026.596079,0.085486633,-115.878782,202.7330714,-103.6036417,4.334687595,-13.58342249,-20.2302629,-19.772237,-29.90914967,-15.86451214,-21.51980551,-17.04609536,-15.58165905,-7.640255158,-10.11237968,-15.65559659,-10.35803106,-11.43968378,-8.51764733,-8.332881629,-6.08470038,yadukula kambhoji
3,Madurai Mani Iyer - Diwakara Tanujam.mp3-4,0.256048948,0.328095594,1245.976622,937.4796743,2030.512722,0.088047842,-108.1816565,198.3364902,-106.3413851,5.316062831,-18.32204812,-14.82420091,-19.34954307,-30.97813991,-13.32762421,-19.92594005,-15.51964866,-17.2588727,-11.47806245,-11.32780767,-15.41657158,-11.28763703,-11.25590485,-6.457401444,-5.643154817,-5.464181669,yadukula kambhoji
4,Madurai Mani Iyer - Diwakara Tanujam.mp3-5,0.256627083,0.327823272,1222.358511,922.0198115,1995.246268,0.087044447,-111.1685859,201.5411604,-105.1292718,4.218769665,-18.77440042,-16.07903217,-20.85572587,-30.42001408,-12.05311656,-22.18562194,-17.19652347,-15.59828761,-10.71072664,-10.31372608,-13.93899237,-10.10671459,-10.49992785,-7.636044928,-7.792031618,-6.366081204,yadukula kambhoji
5,Madurai Mani Iyer - Diwakara Tanujam.mp3-6,0.255006939,0.344165613,1205.59271,922.414601,1987.346316,0.085126091,-108.1641835,205.3014081,-104.1956609,6.056687963,-16.01925558,-16.27770519,-20.45509043,-27.78211953,-14.11342626,-23.22155607,-16.80026962,-16.17338516,-9.386222567,-10.39593581,-16.44004805,-11.20964947,-10.13495767,-7.590515969,-9.648915974,-6.389996137,yadukula kambhoji
6,Madurai Mani Iyer - Diwakara Tanujam.mp3-7,0.27616626,0.343243498,1233.448279,949.9587511,2014.77115,0.087391384,-96.58541115,199.9589142,-103.4969486,7.107653513,-20.92709219,-11.34088128,-19.8330517,-29.90346027,-13.32163518,-21.55392176,-15.35561387,-17.11802796,-12.08809574,-10.97911819,-14.44589685,-10.85398573,-11.03679628,-6.373049167,-6.415853669,-6.019461914,yadukula kambhoji
7,Madurai Mani Iyer - Diwakara Tanujam.mp3-8,0.295616925,0.272178218,1363.288509,1048.526602,2231.478173,0.095397004,-91.97228929,180.1370873,-106.2309835,16.581477,-25.90875635,-9.785718167,-23.79768755,-28.7740712,-11.31069926,-25.90968585,-17.63762638,-14.50610878,-9.732750709,-7.997020824,-10.13736761,-7.445268763,-9.569949791,-8.669933842,-9.133377134,-5.634848299,yadukula kambhoji
8,Madurai Mani Iyer - Diwakara Tanujam.mp3-9,0.291058391,0.329231425,1308.86146,1001.810412,2119.870515,0.093520976,-83.19922371,186.4633458,-102.6794069,7.768243067,-21.53431574,-13.63101362,-22.61885624,-29.21704362,-10.27813997,-22.26683938,-15.75820567,-18.05421257,-12.02922506,-8.83244136,-14.88609082,-10.86010649,-9.855595868,-7.788628496,-7.627471692,-5.305582797,yadukula kambhoji
9,Madurai Mani Iyer - Diwakara Tanujam.mp3-10,0.284557611,0.328104377,1284.053089,986.9529813,2094.379002,0.090384185,-89.16980981,191.4563404,-103.3767569,8.741870304,-20.8970436,-12.23641223,-22.25558103,-29.59745537,-12.50798793,-22.85822046,-15.32712545,-17.47184698,-11.6467447,-9.272840203,-15.21144993,-10.70825179,-9.142554518,-7.542170264,-8.278666656,-5.8554408,yadukula kambhoji
10,M.S. Subbulakshmi - Amba Kamakshi Padayugame.mp3-1,0.06556046,0.268210755,1249.684844,1180.980109,2409.952094,0.070138276,-257.2088143,164.3501642,-64.83943369,38.20765172,-1.555107992,-8.374377,-7.065836333,-12.39345754,1.336552406,-3.004553753,-1.838260916,-12.96268159,-0.332163385,0.815786645,0.466504111,-1.168674818,-9.261405857,-0.814902837,-5.599093933,-0.476069564,yadukula kambhoji
11,M.S. Subbulakshmi - Amba Kamakshi Padayugame.mp3-2,0.12258552,0.282676653,1263.218316,1140.581405,2433.685284,0.07013752,-177.0123971,172.3454998,-74.32263065,40.0240632,-10.01671898,-15.60624402,-7.97381672,-13.80303852,1.027172103,-7.852206039,-2.814326436,-8.970282332,-1.792584129,-2.420856626,-1.829919739,-2.982021599,-9.291067788,-3.304116881,-10.31198538,-2.195184595,yadukula kambhoji
12,M.S. Subbulakshmi - Amba Kamakshi Padayugame.mp3-3,0.122741058,0.307265535,1244.205335,1117.25825,2375.36897,0.071510905,-176.046751,176.6674452,-76.38282371,38.28015169,-9.871956879,-13.00161225,-7.449358249,-12.23069332,2.013520461,-8.198148644,-3.394360796,-11.59435414,-2.134246182,-1.45602803,-0.757917754,-1.708425152,-9.278228909,-2.980691828,-10.96442788,-3.684008339,yadukula kambhoji
13,M.S. Subbulakshmi - Amba Kamakshi Padayugame.mp3-4,0.117507815,0.293510333,1278.944608,1125.826995,2390.177214,0.078815094,-176.344923,168.6638531,-73.65566181,33.88774169,-5.506273628,-9.915564781,-3.537795123,-12.19106842,2.603260313,-3.670125787,-3.000710908,-11.73289758,-2.680382347,0.463220603,-0.27505816,-2.301919826,-8.375260229,-3.607753941,-9.022930666,-2.634021088,yadukula kambhoji
14,M.S. Subbulakshmi - Amba Kamakshi Padayugame.mp3-5,0.115253732,0.310394378,1330.413663,1131.539581,2438.693587,0.086015353,-178.0264655,169.2625499,-76.94330883,33.12993893,-9.570527686,-10.82241098,-5.838981044,-9.157194166,5.018219195,-6.772928135,-4.047582238,-13.22120674,-3.875018904,-2.383698417,-2.271910548,-2.203146532,-8.000354766,-2.711719924,-10.1625637,-1.983815102,yadukula kambhoji
15,M.S. Subbulakshmi - Amba Kamakshi Padayugame.mp3-6,0.127690226,0.292710702,1303.370716,1139.311362,2435.843604,0.079013506,-175.2172338,170.2409598,-75.20851802,38.18199637,-10.93298327,-10.44601083,-6.153941161,-10.7693693,2.068448637,-8.671071152,-1.412961976,-11.01717892,-2.561368574,-1.937609834,-1.573132552,-3.276126882,-10.3740901,-2.160302465,-9.564785452,-1.45915966,yadukula kambhoji
16,M.S. Subbulakshmi - Amba Kamakshi Padayugame.mp3-7,0.12531969,0.308041883,1331.198511,1135.746715,2430.9853,0.084145372,-176.0217738,168.513603,-76.19863843,34.65978248,-12.65940346,-8.352934629,-6.113043025,-10.90406387,3.270394438,-8.918334632,-2.785242046,-12.5931008,-2.760862299,-0.441193389,-1.423642389,-3.965600039,-10.00737236,-1.129519698,-7.120081512,1.119637553,yadukula kambhoji
17,M.S. Subbulakshmi - Amba Kamakshi Padayugame.mp3-8,0.114755534,0.300351125,1381.987079,1132.971645,2459.951792,0.090922731,-185.6154666,163.818725,-80.53162571,31.35133242,-13.45233121,-8.125564604,-6.557695333,-10.02729514,3.005992834,-9.438979558,-3.63757392,-13.55647189,-2.691808509,-1.740694707,-1.427641694,-3.872506666,-10.47313016,-1.223140532,-8.88251954,0.141987355,yadukula kambhoji
18,M.S. Subbulakshmi - Amba Kamakshi Padayugame.mp3-9,0.109294392,0.291552088,1354.984348,1129.141249,2428.576981,0.086612855,-193.3363575,162.1050124,-74.79780586,29.21543608,-10.67011577,-8.910377828,-4.938362061,-10.0850962,0.624938886,-7.908600539,-3.491489191,-13.65104999,-1.497460175,0.465762483,0.700792591,0.276250507,-7.807816812,-1.080272716,-6.326438611,0.630142558,yadukula kambhoji
19,M.S. Subbulakshmi - Amba Kamakshi Padayugame.mp3-10,0.101991944,0.284480232,1294.000903,1135.475314,2386.318904,0.075178306,-204.7242257,164.7057105,-70.36767335,31.46069265,-8.821741025,-9.757575538,-5.735895419,-12.46114902,-1.038103329,-7.249868746,-2.348354097,-12.14434249,-2.764559028,-1.638115195,-0.911279769,-1.156975457,-8.563091677,-3.143418668,-9.185752257,-1.628150473,yadukula kambhoji
20,Malladi Brothers - Sri Rama Jaya Rama - Ni Nama Rupa.mp3-1,0.060589492,0.299105953,1981.152145,2123.718625,3984.067576,0.085232667,-210.8885992,101.7540358,-20.68282203,24.05289007,-7.337419154,-0.259338018,-6.423950073,-5.816258325,-27.39552093,7.751531973,-6.912881681,2.599827304,-5.831269749,-3.419488734,0.069388338,2.52048008,-5.578215032,5.667295355,-2.267315236,-0.647810355,yadukula kambhoji
21,Malladi Brothers - Sri Rama Jaya Rama - Ni Nama Rupa.mp3-2,0.069244586,0.305341001,1885.110289,2066.140834,3897.309767,0.078739887,-180.5667164,110.6931017,-22.15937956,30.73456689,-4.078650899,4.5009615,-6.469420895,-6.586085641,-19.98885449,6.973968878,-7.5609684,3.914254632,-2.486142936,-0.628323178,0.933579589,6.709504531,-8.985910296,6.634997375,-0.356105039,-0.726126119,yadukula kambhoji
22,Malladi Brothers - Sri Rama Jaya Rama - Ni Nama Rupa.mp3-3,0.076962285,0.3076602,1841.323534,2040.158944,3761.568921,0.079257646,-175.1951791,111.2898491,-22.1754595,30.40184672,-2.615328043,1.614821044,-8.449371309,-3.977806149,-21.74625902,6.544927077,-9.730240672,2.847285261,-1.694651579,-1.380287698,1.43770929,7.694548343,-10.1308425,6.004788069,1.069560588,-2.236004389,yadukula kambhoji
23,Malladi Brothers - Sri Rama Jaya Rama - Ni Nama Rupa.mp3-4,0.072948903,0.295918519,1888.795503,2024.263084,3776.968828,0.081418253,-175.9228679,109.0245244,-28.02214673,27.4824631,-4.76970132,0.448740136,-9.694471504,-5.666472248,-21.20233165,5.484771073,-4.886506948,0.84931346,-4.358293617,-0.752982324,0.002318276,7.749575145,-6.773595685,4.576882531,-0.132341123,-0.298047383,yadukula kambhoji
24,Malladi Brothers - Sri Rama Jaya Rama - Ni Nama Rupa.mp3-5,0.070840053,0.299575888,1813.094943,2010.863115,3710.527563,0.074575891,-188.1436469,113.9028805,-21.64144619,30.07215717,-3.338914419,1.059420981,-6.345518252,-5.49173205,-21.15202396,2.191752433,-7.866632203,1.374495417,-0.491952786,-0.528332379,0.526784274,7.554236192,-7.942508419,5.126669546,1.221275355,-1.545308721,yadukula kambhoji
25,Malladi Brothers - Sri Rama Jaya Rama - Ni Nama Rupa.mp3-6,0.071105257,0.308234376,1825.805059,1993.608086,3714.410873,0.080990818,-177.5955089,114.1136634,-25.02900246,29.85123297,-6.827811442,1.753244606,-5.945628081,-5.09719692,-21.72893514,5.356199413,-5.226550635,1.798300419,-1.489484731,-0.977401274,0.768963226,7.04939706,-10.20264485,3.883869088,-0.501393738,-1.969366207,yadukula kambhoji
26,Malladi Brothers - Sri Rama Jaya Rama - Ni Nama Rupa.mp3-7,0.069729514,0.309351719,1811.549969,1998.658189,3680.052747,0.076224785,-182.548374,113.4735045,-24.72017496,29.15520402,-6.613366519,-2.366041006,-8.696633758,-5.27472181,-22.53811185,5.916073655,-4.989012796,2.592294423,-3.469304527,-1.14802899,0.460981141,6.595521465,-9.296366996,5.195016252,-0.857290829,-2.862326198,yadukula kambhoji
27,Malladi Brothers - Sri Rama Jaya Rama - Ni Nama Rupa.mp3-8,0.071948908,0.311424509,1827.350183,1990.110131,3679.144419,0.079917128,-175.3329741,113.534508,-26.24304244,29.2475096,-6.347321898,-1.38219019,-6.828341616,-5.303513798,-21.96533797,6.327652687,-6.770445183,3.838575062,-3.044168577,-1.710453109,0.56198588,6.037503783,-9.637212315,5.739188696,0.405212463,-1.555313801,yadukula kambhoji
28,Malladi Brothers - Sri Rama Jaya Rama - Ni Nama Rupa.mp3-9,0.062085096,0.304006297,1943.270655,2093.687727,3928.092914,0.084570917,-210.4066608,106.6151447,-22.89667627,23.67490035,-5.550393663,4.627739472,-6.407970538,-5.870245336,-18.45959169,7.468687169,-3.289111269,1.859129566,-5.556051396,0.175136403,1.658832706,7.091862096,-7.648041782,5.719215054,1.105466924,1.311742601,yadukula kambhoji
29,Malladi Brothers - Sri Rama Jaya Rama - Ni Nama Rupa.mp3-10,0.089300811,0.328698859,2107.481186,2116.536212,4134.066669,0.100071579,-130.8959405,100.0040139,-29.31493984,26.98564502,-10.04182753,4.0805794,-5.032394017,-5.023051583,-16.25270079,9.767295611,-7.714645611,3.546607698,-4.034325893,-0.050067462,1.992224011,6.627230765,-10.14593869,7.957246306,-0.899516675,0.638520558,yadukula kambhoji
30,Kunnakkudi M Balamuralikrishna - Yarenru Raghavanai.mp3-1,0.056542281,0.232408122,1503.468715,1920.28157,2904.149106,0.053430516,-264.0110971,120.606874,-16.95450201,27.60693832,11.02887786,-12.57582889,-19.18291873,-4.033009971,-14.71393832,-18.74839283,-8.551451947,-11.2252836,-3.06177301,-2.589440132,-4.308531095,2.814253841,-13.35991334,-7.053897078,-9.103712101,-2.162437548,yadukula kambhoji
31,Kunnakkudi M Balamuralikrishna - Yarenru Raghavanai.mp3-2,0.069106869,0.272172166,1380.294213,1784.732038,2723.483531,0.050647464,-228.024234,135.6194009,-14.3488388,30.19899269,3.424138766,-4.41328993,-15.4590598,-8.755410531,-11.37635993,-11.06883793,-12.22585399,-3.606825914,0.431863585,-3.237874921,-2.669189748,5.190106729,-13.06000663,-4.715905682,-5.940731831,-2.248926635,yadukula kambhoji
32,Kunnakkudi M Balamuralikrishna - Yarenru Raghavanai.mp3-3,0.082990542,0.272160863,1448.759299,1844.986905,2872.199299,0.052024629,-205.7902944,128.9817562,-14.92177612,34.52189406,6.357443317,-5.176374099,-15.46714753,-5.038619144,-11.56027478,-10.83204263,-9.517120274,-5.77392138,-1.468903697,-1.850095325,-4.648253735,3.478980598,-11.34058055,-5.388146754,-6.094427569,-1.177499925,yadukula kambhoji
33,Kunnakkudi M Balamuralikrishna - Yarenru Raghavanai.mp3-4,0.062382914,0.284753462,1387.590757,1807.752653,2791.274788,0.050675808,-239.6179023,133.5735224,-10.56258808,33.77185988,3.396647111,-3.142149715,-12.10648862,-3.525356031,-10.77793054,-12.38258219,-10.65853733,-4.581211269,2.233190307,-2.362636387,-2.306729386,5.912650933,-9.772564018,-4.968302284,-7.525775089,-0.139483362,yadukula kambhoji
34,Kunnakkudi M Balamuralikrishna - Yarenru Raghavanai.mp3-5,0.111443922,0.254830477,1580.936212,1980.3367,3253.155329,0.059625112,-173.0750172,120.6427053,-9.396700498,28.17434171,2.957744124,-1.157050572,-16.19838927,-1.413224137,-7.312922928,-5.056318929,-2.122966326,-2.868536813,-0.375532583,-2.885800887,-3.099027891,-0.102818492,-13.78367069,-3.623889544,-8.530187781,-7.075910737,yadukula kambhoji
35,Kunnakkudi M Balamuralikrishna - Yarenru Raghavanai.mp3-6,0.086772189,0.248142812,1529.40111,1887.19002,2997.298542,0.054446005,-202.5415629,124.3245015,-16.69975095,31.5410394,6.336938426,-4.318531279,-17.48915751,-4.936347162,-10.69799742,-9.725494736,-5.932906017,-6.632988926,-2.579513142,-2.00147613,-3.472309791,1.489627252,-12.13281444,-3.838378448,-6.647234635,-3.199111069,yadukula kambhoji
36,Kunnakkudi M Balamuralikrishna - Yarenru Raghavanai.mp3-7,0.067751482,0.284375122,1286.982251,1755.422782,2511.268148,0.046152782,-243.3927334,140.7458117,-7.597429491,27.57767026,3.30063859,-1.839323424,-10.75148996,-4.628046788,-9.459371948,-10.01213226,-8.461294431,-5.721498393,1.754961576,-1.652262048,0.928478155,7.802107492,-11.11449648,-5.153183674,-5.749273928,-0.886675828,yadukula kambhoji
37,Kunnakkudi M Balamuralikrishna - Yarenru Raghavanai.mp3-8,0.079786062,0.252910054,1401.793338,1903.001065,2829.816222,0.04879071,-220.6974356,128.0446403,-4.395327853,30.26880143,5.371980616,-1.951137726,-10.58745364,-3.500779087,-7.00345249,-8.862613401,-5.896634124,-3.847514715,-0.532433951,-4.094363385,-2.757450604,1.812353037,-11.88142815,-7.809603567,-8.922229424,-4.667135026,yadukula kambhoji
38,Kunnakkudi M Balamuralikrishna - Yarenru Raghavanai.mp3-9,0.079794206,0.283558025,1360.399525,1771.215523,2701.833662,0.049612701,-222.0960446,133.2925612,-13.69330675,36.32498709,7.003030508,-5.263620711,-13.94178526,-6.992608672,-8.318984973,-10.29463302,-10.71630595,-5.008833365,0.293172799,-0.977531104,-2.368135327,5.204220531,-11.64395488,-4.016564408,-4.546116505,0.54488227,yadukula kambhoji
